Prozentsatz	Nach d*Tagen hat man 99.999% des Geldes
0.1%	350419
0.2%	175207
0.3%	116803
0.4%	87601
0.5%	70080
0.6%	58399
0.7%	50055
0.8%	43798
0.9%	38931
1.0%	35037
1.1%	31852
1.2%	29197
1.3%	26950
1.4%	25025
1.5%	23356
1.6%	21896
1.7%	20608
1.8%	19463
1.9%	18438
2.0%	17516
2.1%	16682
2.2%	15923
2.3%	15231
2.4%	14596
2.5%	14012
2.6%	13473
2.7%	12973
2.8%	12510
2.9%	12078
3.0%	11676
3.1%	11299
3.2%	10946
3.3%	10614
3.4%	10301
3.5%	10007
3.6%	9729
3.7%	9466
3.8%	9216
3.9%	8980
4.0%	8755
4.1%	8542
4.2%	8338
4.3%	8144
4.4%	7959
4.5%	7782
4.6%	7613
4.7%	7451
4.8%	7295
4.9%	7146
5.0%	7003
5.1%	6866
5.2%	6734
5.3%	6607
5.4%	6484
5.5%	6366
5.6%	6252
5.7%	6143
5.8%	6037
5.9%	5934
6.0%	5835
6.1%	5739
6.2%	5647
6.3%	5557
6.4%	5470
6.5%	5386
6.6%	5304
6.7%	5225
6.8%	5148
6.9%	5073
7.0%	5001
7.1%	4930
7.2%	4862
7.3%	4795
7.4%	4730
7.5%	4667
7.6%	4606
7.7%	4546
7.8%	4487
7.9%	4430
8.0%	4375
8.1%	4321
8.2%	4268
8.3%	4217
8.4%	4166
8.5%	4117
8.6%	4069
8.7%	4023
8.8%	3977
8.9%	3932
9.0%	3888
9.1%	3846
9.2%	3804
9.3%	3763
9.4%	3723
9.5%	3683
9.6%	3645
9.7%	3607
9.8%	3571
9.9%	3534
10.0%	3499
10.1%	3464
10.2%	3430
10.3%	3397
10.4%	3364
10.5%	3332
10.6%	3301
10.7%	3270
10.8%	3239
10.9%	3210
11.0%	3180
11.1%	3152
11.2%	3124
11.3%	3096
11.4%	3069
11.5%	3042
11.6%	3016
11.7%	2990
11.8%	2964
11.9%	2939
12.0%	2915
12.1%	2891
12.2%	2867
12.3%	2844
12.4%	2821
12.5%	2798
12.6%	2776
12.7%	2754
12.8%	2732
12.9%	2711
13.0%	2690
13.1%	2670
13.2%	2649
13.3%	2630
13.4%	2610
13.5%	2590
13.6%	2571
13.7%	2553
13.8%	2534
13.9%	2516
14.0%	2498
14.1%	2480
14.2%	2463
14.3%	2445
14.4%	2428
14.5%	2411
14.6%	2395
14.7%	2379
14.8%	2362
14.9%	2347
15.0%	2331
15.1%	2315
15.2%	2300
15.3%	2285
15.4%	2270
15.5%	2256
15.6%	2241
15.7%	2227
15.8%	2213
15.9%	2199
16.0%	2185
16.1%	2171
16.2%	2158
16.3%	2145
16.4%	2131
16.5%	2119
16.6%	2106
16.7%	2093
16.8%	2081
16.9%	2068
17.0%	2056
17.1%	2044
17.2%	2032
17.3%	2020
17.4%	2009
17.5%	1997
17.6%	1986
17.7%	1975
17.8%	1963
17.9%	1952
18.0%	1942
18.1%	1931
18.2%	1920
18.3%	1910
18.4%	1899
18.5%	1889
18.6%	1879
18.7%	1869
18.8%	1859
18.9%	1849
19.0%	1839
19.1%	1829
19.2%	1820
19.3%	1810
19.4%	1801
19.5%	1792
19.6%	1783
19.7%	1774
19.8%	1765
19.9%	1756
20.0%	1747
20.1%	1738
20.2%	1730
20.3%	1721
20.4%	1713
20.5%	1704
20.6%	1696
20.7%	1688
20.8%	1679
20.9%	1671
21.0%	1663
21.1%	1656
21.2%	1648
21.3%	1640
21.4%	1632
21.5%	1625
21.6%	1617
21.7%	1610
21.8%	1602
21.9%	1595
22.0%	1588
22.1%	1580
22.2%	1573
22.3%	1566
22.4%	1559
22.5%	1552
22.6%	1545
22.7%	1538
22.8%	1532
22.9%	1525
23.0%	1518
23.1%	1512
23.2%	1505
23.3%	1499
23.4%	1492
23.5%	1486
23.6%	1480
23.7%	1473
23.8%	1467
23.9%	1461
24.0%	1455
24.1%	1449
24.2%	1443
24.3%	1437
24.4%	1431
24.5%	1425
24.6%	1419
24.7%	1413
24.8%	1408
24.9%	1402
25.0%	1396
25.1%	1391
25.2%	1385
25.3%	1380
25.4%	1374
25.5%	1369
25.6%	1364
25.7%	1358
25.8%	1353
25.9%	1348
26.0%	1343
26.1%	1337
26.2%	1332
26.3%	1327
26.4%	1322
26.5%	1317
26.6%	1312
26.7%	1307
26.8%	1302
26.9%	1297
27.0%	1293
27.1%	1288
27.2%	1283
27.3%	1278
27.4%	1274
27.5%	1269
27.6%	1264
27.7%	1260
27.8%	1255
27.9%	1251
28.0%	1246
28.1%	1242
28.2%	1237
28.3%	1233
28.4%	1229
28.5%	1224
28.6%	1220
28.7%	1216
28.8%	1211
28.9%	1207
29.0%	1203
29.1%	1199
29.2%	1195
29.3%	1191
29.4%	1187
29.5%	1183
29.6%	1179
29.7%	1175
29.8%	1171
29.9%	1167
30.0%	1163
30.1%	1159
30.2%	1155
30.3%	1151
30.4%	1147
30.5%	1144
30.6%	1140
30.7%	1136
30.8%	1132
30.9%	1129
31.0%	1125
31.1%	1122
31.2%	1118
31.3%	1114
31.4%	1111
31.5%	1107
31.6%	1104
31.7%	1100
31.8%	1097
31.9%	1093
32.0%	1090
32.1%	1086
32.2%	1083
32.3%	1080
32.4%	1076
32.5%	1073
32.6%	1070
32.7%	1066
32.8%	1063
32.9%	1060
33.0%	1057
33.1%	1053
33.2%	1050
33.3%	1047
33.4%	1044
33.5%	1041
33.6%	1038
33.7%	1035
33.8%	1031
33.9%	1028
34.0%	1025
34.1%	1022
34.2%	1019
34.3%	1016
34.4%	1013
34.5%	1010
34.6%	1008
34.7%	1005
34.8%	1002
34.9%	999
35.0%	996
35.1%	993
35.2%	990
35.3%	987
35.4%	985
35.5%	982
35.6%	979
35.7%	976
35.8%	974
35.9%	971
36.0%	968
36.1%	965
36.2%	963
36.3%	960
36.4%	957
36.5%	955
36.6%	952
36.7%	950
36.8%	947
36.9%	944
37.0%	942
37.1%	939
37.2%	937
37.3%	934
37.4%	932
37.5%	929
37.6%	927
37.7%	924
37.8%	922
37.9%	919
38.0%	917
38.1%	914
38.2%	912
38.3%	910
38.4%	907
38.5%	905
38.6%	903
38.7%	900
38.8%	898
38.9%	896
39.0%	893
39.1%	891
39.2%	889
39.3%	886
39.4%	884
39.5%	882
39.6%	880
39.7%	877
39.8%	875
39.9%	873
40.0%	871
40.1%	869
40.2%	866
40.3%	864
40.4%	862
40.5%	860
40.6%	858
40.7%	856
40.8%	854
40.9%	852
41.0%	849
41.1%	847
41.2%	845
41.3%	843
41.4%	841
41.5%	839
41.6%	837
41.7%	835
41.8%	833
41.9%	831
42.0%	829
42.1%	827
42.2%	825
42.3%	823
42.4%	821
42.5%	819
42.6%	817
42.7%	815
42.8%	813
42.9%	812
43.0%	810
43.1%	808
43.2%	806
43.3%	804
43.4%	802
43.5%	800
43.6%	798
43.7%	797
43.8%	795
43.9%	793
44.0%	791
44.1%	789
44.2%	788
44.3%	786
44.4%	784
44.5%	782
44.6%	780
44.7%	779
44.8%	777
44.9%	775
45.0%	773
45.1%	772
45.2%	770
45.3%	768
45.4%	767
45.5%	765
45.6%	763
45.7%	762
45.8%	760
45.9%	758
46.0%	757
46.1%	755
46.2%	753
46.3%	752
46.4%	750
46.5%	748
46.6%	747
46.7%	745
46.8%	743
46.9%	742
47.0%	740
47.1%	739
47.2%	737
47.3%	736
47.4%	734
47.5%	732
47.6%	731
47.7%	729
47.8%	728
47.9%	726
48.0%	725
48.1%	723
48.2%	722
48.3%	720
48.4%	719
48.5%	717
48.6%	716
48.7%	714
48.8%	713
48.9%	711
49.0%	710
49.1%	708
49.2%	707
49.3%	706
49.4%	704
49.5%	703
49.6%	701
49.7%	700
49.8%	698
49.9%	697
50.0%	696
50.1%	694
50.2%	693
50.3%	691
50.4%	690
50.5%	689
50.6%	687
50.7%	686
50.8%	685
50.9%	683
51.0%	682
51.1%	680
51.2%	679
51.3%	678
51.4%	676
51.5%	675
51.6%	674
51.7%	673
51.8%	671
51.9%	670
52.0%	669
52.1%	667
52.2%	666
52.3%	665
52.4%	663
52.5%	662
52.6%	661
52.7%	660
52.8%	658
52.9%	657
53.0%	656
53.1%	655
53.2%	653
53.3%	652
53.4%	651
53.5%	650
53.6%	649
53.7%	647
53.8%	646
53.9%	645
54.0%	644
54.1%	642
54.2%	641
54.3%	640
54.4%	639
54.5%	638
54.6%	637
54.7%	635
54.8%	634
54.9%	633
55.0%	632
55.1%	631
55.2%	630
55.3%	628
55.4%	627
55.5%	626
55.6%	625
55.7%	624
55.8%	623
55.9%	622
56.0%	620
56.1%	619
56.2%	618
56.3%	617
56.4%	616
56.5%	615
56.6%	614
56.7%	613
56.8%	612
56.9%	611
57.0%	610
57.1%	608
57.2%	607
57.3%	606
57.4%	605
57.5%	604
57.6%	603
57.7%	602
57.8%	601
57.9%	600
58.0%	599
58.1%	598
58.2%	597
58.3%	596
58.4%	595
58.5%	594
58.6%	593
58.7%	592
58.8%	591
58.9%	590
59.0%	589
59.1%	588
59.2%	587
59.3%	586
59.4%	585
59.5%	584
59.6%	583
59.7%	582
59.8%	581
59.9%	580
60.0%	579
60.1%	578
60.2%	577
60.3%	576
60.4%	575
60.5%	574
60.6%	573
60.7%	572
60.8%	571
60.9%	570
61.0%	569
61.1%	568
61.2%	567
61.3%	566
61.4%	565
61.5%	565
61.6%	564
61.7%	563
61.8%	562
61.9%	561
62.0%	560
62.1%	559
62.2%	558
62.3%	557
62.4%	556
62.5%	555
62.6%	555
62.7%	554
62.8%	553
62.9%	552
63.0%	551
63.1%	550
63.2%	549
63.3%	548
63.4%	547
63.5%	547
63.6%	546
63.7%	545
63.8%	544
63.9%	543
64.0%	542
64.1%	541
64.2%	541
64.3%	540
64.4%	539
64.5%	538
64.6%	537
64.7%	536
64.8%	536
64.9%	535
65.0%	534
65.1%	533
65.2%	532
65.3%	531
65.4%	531
65.5%	530
65.6%	529
65.7%	528
65.8%	527
65.9%	526
66.0%	526
66.1%	525
66.2%	524
66.3%	523
66.4%	522
66.5%	522
66.6%	521
66.7%	520
66.8%	519
66.9%	519
67.0%	518
67.1%	517
67.2%	516
67.3%	515
67.4%	515
67.5%	514
67.6%	513
67.7%	512
67.8%	512
67.9%	511
68.0%	510
68.1%	509
68.2%	509
68.3%	508
68.4%	507
68.5%	506
68.6%	506
68.7%	505
68.8%	504
68.9%	503
69.0%	503
69.1%	502
69.2%	501
69.3%	500
69.4%	500
69.5%	499
69.6%	498
69.7%	497
69.8%	497
69.9%	496
70.0%	495
70.1%	495
70.2%	494
70.3%	493
70.4%	492
70.5%	492
70.6%	491
70.7%	490
70.8%	490
70.9%	489
71.0%	488
71.1%	488
71.2%	487
71.3%	486
71.4%	486
71.5%	485
71.6%	484
71.7%	483
71.8%	483
71.9%	482
72.0%	481
72.1%	481
72.2%	480
72.3%	479
72.4%	479
72.5%	478
72.6%	477
72.7%	477
72.8%	476
72.9%	475
73.0%	475
73.1%	474
73.2%	473
73.3%	473
73.4%	472
73.5%	471
73.6%	471
73.7%	470
73.8%	470
73.9%	469
74.0%	468
74.1%	468
74.2%	467
74.3%	466
74.4%	466
74.5%	465
74.6%	464
74.7%	464
74.8%	463
74.9%	463
75.0%	462
75.1%	461
75.2%	461
75.3%	460
75.4%	459
75.5%	459
75.6%	458
75.7%	458
75.8%	457
75.9%	456
76.0%	456
76.1%	455
76.2%	455
76.3%	454
76.4%	453
76.5%	453
76.6%	452
76.7%	452
76.8%	451
76.9%	450
77.0%	450
77.1%	449
77.2%	449
77.3%	448
77.4%	447
77.5%	447
77.6%	446
77.7%	446
77.8%	445
77.9%	445
78.0%	444
78.1%	443
78.2%	443
78.3%	442
78.4%	442
78.5%	441
78.6%	441
78.7%	440
78.8%	439
78.9%	439
79.0%	438
79.1%	438
79.2%	437
79.3%	437
79.4%	436
79.5%	436
79.6%	435
79.7%	434
79.8%	434
79.9%	433
80.0%	433
80.1%	432
80.2%	432
80.3%	431
80.4%	431
80.5%	430
80.6%	429
80.7%	429
80.8%	428
80.9%	428
81.0%	427
81.1%	427
81.2%	426
81.3%	426
81.4%	425
81.5%	425
81.6%	424
81.7%	424
81.8%	423
81.9%	423
82.0%	422
82.1%	422
82.2%	421
82.3%	421
82.4%	420
82.5%	419
82.6%	419
82.7%	418
82.8%	418
82.9%	417
83.0%	417
83.1%	416
83.2%	416
83.3%	415
83.4%	415
83.5%	414
83.6%	414
83.7%	413
83.8%	413
83.9%	412
84.0%	412
84.1%	411
84.2%	411
84.3%	410
84.4%	410
84.5%	409
84.6%	409
84.7%	408
84.8%	408
84.9%	407
85.0%	407
85.1%	406
85.2%	406
85.3%	406
85.4%	405
85.5%	405
85.6%	404
85.7%	404
85.8%	403
85.9%	403
86.0%	402
86.1%	402
86.2%	401
86.3%	401
86.4%	400
86.5%	400
86.6%	399
86.7%	399
86.8%	398
86.9%	398
87.0%	398
87.1%	397
87.2%	397
87.3%	396
87.4%	396
87.5%	395
87.6%	395
87.7%	394
87.8%	394
87.9%	393
88.0%	393
88.1%	392
88.2%	392
88.3%	392
88.4%	391
88.5%	391
88.6%	390
88.7%	390
88.8%	389
88.9%	389
89.0%	388
89.1%	388
89.2%	388
89.3%	387
89.4%	387
89.5%	386
89.6%	386
89.7%	385
89.8%	385
89.9%	385
90.0%	384
90.1%	384
90.2%	383
90.3%	383
90.4%	382
90.5%	382
90.6%	381
90.7%	381
90.8%	381
90.9%	380
91.0%	380
91.1%	379
91.2%	379
91.3%	379
91.4%	378
91.5%	378
91.6%	377
91.7%	377
91.8%	376
91.9%	376
92.0%	376
92.1%	375
92.2%	375
92.3%	374
92.4%	374
92.5%	374
92.6%	373
92.7%	373
92.8%	372
92.9%	372
93.0%	372
93.1%	371
93.2%	371
93.3%	370
93.4%	370
93.5%	369
93.6%	369
93.7%	369
93.8%	368
93.9%	368
94.0%	368
94.1%	367
94.2%	367
94.3%	366
94.4%	366
94.5%	366
94.6%	365
94.7%	365
94.8%	364
