Prozentsatz	Nach m*Monaten hat man 99.999% des Geldes
0.1%	11508
0.2%	5751
0.3%	3832
0.4%	2873
0.5%	2297
0.6%	1914
0.7%	1639
0.8%	1434
0.9%	1274
1.0%	1146
1.1%	1041
1.2%	954
1.3%	880
1.4%	817
1.5%	762
1.6%	714
1.7%	672
1.8%	634
1.9%	601
2.0%	570
2.1%	543
2.2%	518
2.3%	495
2.4%	474
2.5%	455
2.6%	438
2.7%	421
2.8%	406
2.9%	392
3.0%	378
3.1%	366
3.2%	354
3.3%	344
3.4%	333
3.5%	324
3.6%	315
3.7%	306
3.8%	298
3.9%	290
4.0%	283
4.1%	276
4.2%	269
4.3%	262
4.4%	256
4.5%	251
4.6%	245
4.7%	240
4.8%	235
4.9%	230
5.0%	225
5.1%	220
5.2%	216
5.3%	212
5.4%	208
5.5%	204
5.6%	200
5.7%	197
5.8%	193
5.9%	190
6.0%	187
6.1%	183
6.2%	180
6.3%	177
6.4%	175
6.5%	172
6.6%	169
6.7%	167
6.8%	164
6.9%	162
7.0%	159
7.1%	157
7.2%	155
7.3%	152
7.4%	150
7.5%	148
7.6%	146
7.7%	144
7.8%	142
7.9%	140
8.0%	139
8.1%	137
8.2%	135
8.3%	133
8.4%	132
8.5%	130
8.6%	129
8.7%	127
8.8%	125
8.9%	124
9.0%	123
9.1%	121
9.2%	120
9.3%	118
9.4%	117
9.5%	116
9.6%	115
9.7%	113
9.8%	112
9.9%	111
10.0%	110
10.1%	109
10.2%	108
10.3%	106
10.4%	105
10.5%	104
10.6%	103
10.7%	102
10.8%	101
10.9%	100
11.0%	99
11.1%	98
11.2%	97
11.3%	97
11.4%	96
11.5%	95
11.6%	94
11.7%	93
11.8%	92
11.9%	91
12.0%	91
12.1%	90
12.2%	89
12.3%	88
12.4%	87
12.5%	87
12.6%	86
12.7%	85
12.8%	85
12.9%	84
13.0%	83
13.1%	82
13.2%	82
13.3%	81
13.4%	81
13.5%	80
13.6%	79
13.7%	79
13.8%	78
13.9%	77
14.0%	77
14.1%	76
14.2%	76
14.3%	75
14.4%	75
14.5%	74
14.6%	73
14.7%	73
14.8%	72
14.9%	72
15.0%	71
15.1%	71
15.2%	70
15.3%	70
15.4%	69
15.5%	69
15.6%	68
15.7%	68
15.8%	67
15.9%	67
16.0%	67
16.1%	66
16.2%	66
16.3%	65
16.4%	65
16.5%	64
16.6%	64
16.7%	64
16.8%	63
16.9%	63
17.0%	62
17.1%	62
17.2%	61
17.3%	61
17.4%	61
17.5%	60
17.6%	60
17.7%	60
17.8%	59
17.9%	59
18.0%	59
18.1%	58
18.2%	58
18.3%	57
18.4%	57
18.5%	57
18.6%	56
18.7%	56
18.8%	56
18.9%	55
19.0%	55
19.1%	55
19.2%	55
19.3%	54
19.4%	54
19.5%	54
19.6%	53
19.7%	53
19.8%	53
19.9%	52
20.0%	52
20.1%	52
20.2%	52
20.3%	51
20.4%	51
20.5%	51
20.6%	50
20.7%	50
20.8%	50
20.9%	50
21.0%	49
21.1%	49
21.2%	49
21.3%	49
21.4%	48
21.5%	48
21.6%	48
21.7%	48
21.8%	47
21.9%	47
22.0%	47
22.1%	47
22.2%	46
22.3%	46
22.4%	46
22.5%	46
22.6%	45
22.7%	45
22.8%	45
22.9%	45
23.0%	45
23.1%	44
23.2%	44
23.3%	44
23.4%	44
23.5%	43
23.6%	43
23.7%	43
23.8%	43
23.9%	43
24.0%	42
24.1%	42
24.2%	42
24.3%	42
24.4%	42
24.5%	41
24.6%	41
24.7%	41
24.8%	41
24.9%	41
25.0%	41
25.1%	40
25.2%	40
25.3%	40
25.4%	40
25.5%	40
25.6%	39
25.7%	39
25.8%	39
25.9%	39
26.0%	39
26.1%	39
26.2%	38
26.3%	38
26.4%	38
26.5%	38
26.6%	38
26.7%	38
26.8%	37
26.9%	37
27.0%	37
27.1%	37
27.2%	37
27.3%	37
27.4%	36
27.5%	36
27.6%	36
27.7%	36
27.8%	36
27.9%	36
28.0%	36
28.1%	35
28.2%	35
28.3%	35
28.4%	35
28.5%	35
28.6%	35
28.7%	35
28.8%	34
28.9%	34
29.0%	34
29.1%	34
29.2%	34
29.3%	34
29.4%	34
29.5%	33
29.6%	33
29.7%	33
29.8%	33
29.9%	33
30.0%	33
30.1%	33
30.2%	33
30.3%	32
30.4%	32
30.5%	32
30.6%	32
30.7%	32
30.8%	32
30.9%	32
31.0%	32
31.1%	31
31.2%	31
31.3%	31
31.4%	31
31.5%	31
31.6%	31
31.7%	31
31.8%	31
31.9%	30
32.0%	30
32.1%	30
32.2%	30
32.3%	30
32.4%	30
32.5%	30
32.6%	30
32.7%	30
32.8%	29
32.9%	29
33.0%	29
33.1%	29
33.2%	29
33.3%	29
33.4%	29
33.5%	29
33.6%	29
33.7%	29
33.8%	28
33.9%	28
34.0%	28
34.1%	28
34.2%	28
34.3%	28
34.4%	28
34.5%	28
34.6%	28
34.7%	28
34.8%	27
34.9%	27
35.0%	27
35.1%	27
35.2%	27
35.3%	27
35.4%	27
35.5%	27
35.6%	27
35.7%	27
35.8%	26
35.9%	26
36.0%	26
36.1%	26
36.2%	26
36.3%	26
36.4%	26
36.5%	26
36.6%	26
36.7%	26
36.8%	26
36.9%	26
37.0%	25
37.1%	25
37.2%	25
37.3%	25
37.4%	25
37.5%	25
37.6%	25
37.7%	25
37.8%	25
37.9%	25
38.0%	25
38.1%	25
38.2%	24
38.3%	24
38.4%	24
38.5%	24
38.6%	24
38.7%	24
38.8%	24
38.9%	24
39.0%	24
39.1%	24
39.2%	24
39.3%	24
39.4%	23
39.5%	23
39.6%	23
39.7%	23
39.8%	23
39.9%	23
40.0%	23
40.1%	23
40.2%	23
40.3%	23
40.4%	23
40.5%	23
40.6%	23
40.7%	23
40.8%	22
40.9%	22
41.0%	22
41.1%	22
41.2%	22
41.3%	22
41.4%	22
41.5%	22
41.6%	22
41.7%	22
41.8%	22
41.9%	22
42.0%	22
42.1%	22
42.2%	22
42.3%	21
42.4%	21
42.5%	21
42.6%	21
42.7%	21
42.8%	21
42.9%	21
43.0%	21
43.1%	21
43.2%	21
43.3%	21
43.4%	21
43.5%	21
43.6%	21
43.7%	21
43.8%	20
43.9%	20
44.0%	20
44.1%	20
44.2%	20
44.3%	20
44.4%	20
44.5%	20
44.6%	20
44.7%	20
44.8%	20
44.9%	20
45.0%	20
45.1%	20
45.2%	20
45.3%	20
45.4%	20
45.5%	19
45.6%	19
45.7%	19
45.8%	19
45.9%	19
46.0%	19
46.1%	19
46.2%	19
